____________________________________________________________________________________________________________________________
|     (z,r)|         0|         1|         2|         3|         4|         5|         6|         7|         8|$|         B|
|         7|   0,13966|  -0,23116|  -0,38285|  -0,30340|   0,05439|  -0,01525|  -0,73176|   1,76051|  -0,80826|  -0,02247|  -0,02985|  -0,44661|  -0,26110|  -0,17799|   0,07173|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,31250|
|         8|         0|         0|  -0,31977|  -0,80009|  -0,48113|         0|         0|  -0,80826|   2,08909|  -0,59229|         0|         0|  -0,25101|  -0,55626|  -0,11553|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|  -0,57118|
|         9|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|        10|  -0,04351|   0,07211|  -0,01169|         0|         0|  -0,13821|  -0,24498|  -0,02985|         0|         0|   1,07986|  -0,54467|  -0,09291|         0|         0|  -0,18315|  -0,32823|   0,10238|         0|         0|  -0,03190|   0,10238|  -0,02032|         0|         0|$|  -0,56944|
|        11|   0,13966|   0,02203|   0,10822|         0|         0|  -0,23602|  -0,62212|  -0,44661|         0|         0|  -0,54467|   1,72514|  -0,35213|         0|         0|  -0,26328|  -0,71679|  -0,17313|         0|         0|   0,05401|   0,02975|   0,05767|         0|         0|$|  -0,30816|
|        12|  -0,02772|   0,07497|  -0,05303|   0,07255|  -0,01301|   0,09556|  -0,12090|  -0,26110|  -0,25101|  -0,02117|  -0,09291|  -0,35213|   1,48481|  -0,38864|  -0,05777|   0,00056|  -0,42924|  -0,30106|  -0,23871|   0,07446|  -0,00397|   0,08792|  -0,03399|   0,07446|  -0,01478|$|  -0,15625|
|        13|         0|         0|   0,09974|   0,00958|   0,11505|         0|         0|  -0,17799|  -0,55626|  -0,69555|         0|         0|  -0,38864|   1,85593|  -0,25231|         0|         0|  -0,25402|  -0,61993|  -0,17539|         0|         0|   0,05245|   0,01320|   0,05647|$|  -0,28559|
|        14|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|$|   8,00000|
|        15|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,18315|  -0,26328|   0,00056|         0|         0|   1,36765|  -0,95519|  -0,02275|         0|         0|  -0,13848|  -0,23976|   0,08923|         0|         0|$|  -1,13889|
|        16|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,32823|  -0,71679|  -0,42924|         0|         0|  -0,95519|   2,01043|  -0,64624|         0|         0|  -0,22889|  -0,59397|  -0,12392|         0|         0|$|  -0,61632|
|        17|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   0,10238|  -0,17313|  -0,30106|  -0,25402|   0,02907|  -0,02275|  -0,64624|   1,82562|  -0,70503|  -0,01456|  -0,01594|  -0,39581|  -0,25112|  -0,18003|   0,06598|$|  -0,31250|
|        18|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|  -0,23871|  -0,61993|  -0,52465|         0|         0|  -0,70503|   2,19582|  -0,52782|         0|         0|  -0,23093|  -0,52771|  -0,12590|$|  -0,57118|
|        19|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|         0|   1,00000|         0|         0|         0|         0|         0|$|   8,00000|
